SCHD_DATE,MONTH,DAY_OF_WEEK,HOUR,DIFF,INCREASED_UNITS,STAFFED_UNITS,AVERAGE_DEMAND,MAX_TEMPERATURE,EVENT,DISPATCH_ONE_OLD,DISPATCH_ONE,XXM_DISPATCHES
1/1/2015,1,5,12,-2.883,1,17,19.883,59,1,0,1,0
1/1/2015,1,5,9,-2.45,-1,12,14.45,59,1,0,1,0
1/1/2015,1,5,14,-2.25,10,17,19.25,59,1,0,1,0
1/1/2015,1,5,15,-2,1,17,19,59,1,0,1,0
1/1/2015,1,5,13,-1.65,0,17,18.65,59,1,0,1,0
1/1/2015,1,5,11,-0.65,0,17,17.65,59,1,0,1,0
1/1/2015,1,5,8,0.417,3,12,11.583,59,1,1,1,4
1/1/2015,1,5,10,1.083,-5,17,15.917,59,1,0,0,0
1/1/2015,1,5,7,1.183,2,9,7.817,59,1,1,1,3
1/1/2015,1,5,16,1.317,-10,19,17.683,59,1,0,0,0
1/1/2015,1,5,17,1.95,13,19,17.05,59,1,0,0,0
1/1/2015,1,5,5,3.1,0,11,7.9,59,1,0,0,0
1/1/2015,1,5,19,3.483,-12,19,15.517,59,1,0,0,0
1/1/2015,1,5,18,3.7,3,19,15.3,59,1,0,0,0
1/1/2015,1,5,6,4.333,0,11,6.667,59,1,1,0,1
1/1/2015,1,5,22,5.683,3,19,13.317,59,1,0,0,0
1/1/2015,1,5,21,6.05,-1,20,13.95,59,1,0,0,0
1/1/2015,1,5,0,6.6,,19,12.4,59,1,0,0,0
1/1/2015,1,5,23,7.067,0,19,11.933,59,1,0,0,0
1/1/2015,1,5,4,7.933,-13,16,8.067,59,1,0,0,0
1/1/2015,1,5,2,8.133,0,19,10.867,59,1,1,0,3
1/1/2015,1,5,1,8.467,6,19,10.533,59,1,1,0,3
1/1/2015,1,5,3,8.9,2,18,9.1,59,1,1,0,2
1/1/2015,1,5,20,9.8,2,24,14.2,59,1,0,0,0
1/3/2015,1,7,9,-4.15,0,10,14.15,57,0,0,1,0
1/3/2015,1,7,15,-2.967,1,15,17.967,57,0,0,1,0
1/3/2015,1,7,13,-1.783,4,15,16.783,57,0,1,1,1
1/3/2015,1,7,14,-1.583,-2,15,16.583,57,0,0,1,0
1/3/2015,1,7,18,-1,2,15,16,57,0,0,1,0
1/3/2015,1,7,7,-0.933,-1,7,7.933,57,0,1,1,2
1/3/2015,1,7,8,-0.733,0,11,11.733,57,0,0,1,0
1/3/2015,1,7,19,-0.567,-2,16,16.567,57,0,0,1,0
1/3/2015,1,7,12,-0.417,2,15,15.417,57,0,0,1,0
1/3/2015,1,7,21,0.1,1,17,16.9,57,0,0,0,0
1/3/2015,1,7,16,0.383,2,18,17.617,57,0,0,0,0
1/3/2015,1,7,10,0.4,0,15,14.6,57,0,0,0,0
1/3/2015,1,7,3,0.433,4,13,12.567,57,0,0,0,0
1/3/2015,1,7,17,0.983,3,16,15.017,57,0,0,0,0
1/3/2015,1,7,22,1.117,-1,17,15.883,57,0,0,0,0
1/3/2015,1,7,11,1.633,-4,15,13.367,57,0,0,0,0
1/3/2015,1,7,23,1.8,-4,17,15.2,57,0,0,0,0
1/3/2015,1,7,6,2.783,0,11,8.217,57,0,1,0,2
1/3/2015,1,7,4,3.283,-4,12,8.717,57,0,0,0,0
1/3/2015,1,7,2,3.883,-3,17,13.117,57,0,0,0,0
1/3/2015,1,7,1,3.95,-3,17,13.05,57,0,0,0,0
1/3/2015,1,7,5,4.283,-2,12,7.717,57,0,0,0,0
1/3/2015,1,7,0,5.083,-10,17,11.917,57,0,0,0,0
1/3/2015,1,7,20,5.15,0,21,15.85,57,0,0,0,0
1/4/2015,1,1,19,-4.697,2,11,15.697,58,0,0,1,0
1/4/2015,1,1,16,-3.227,1,14,17.227,58,0,0,1,0
1/4/2015,1,1,15,-2.712,0,15,17.712,58,0,0,1,0
1/4/2015,1,1,18,-2.03,0,12,14.03,58,0,1,1,3
1/4/2015,1,1,14,-1.379,4,15,16.379,58,0,0,1,0
1/4/2015,1,1,7,-1.076,1,6,7.076,58,0,0,1,0
1/4/2015,1,1,17,-1.015,0,14,15.015,58,0,0,1,0
1/4/2015,1,1,3,-0.697,3,12,12.697,58,0,0,1,0
1/4/2015,1,1,22,-0.636,-1,13,13.636,58,0,0,1,0
1/4/2015,1,1,13,-0.303,2,15,15.303,58,0,0,1,0
1/4/2015,1,1,4,-0.076,-3,10,10.076,58,0,0,1,0
1/4/2015,1,1,11,0.258,0,15,14.742,58,0,0,0,0
1/4/2015,1,1,12,0.303,1,15,14.697,58,0,0,0,0
1/4/2015,1,1,21,1.197,-2,14,12.803,58,0,0,0,0
1/4/2015,1,1,9,1.47,0,11,9.53,58,0,0,0,0
1/4/2015,1,1,20,1.576,4,16,14.424,58,0,0,0,0
1/4/2015,1,1,23,1.924,0,13,11.076,58,0,0,0,0
1/4/2015,1,1,8,2.182,5,11,8.818,58,0,1,0,1
1/4/2015,1,1,6,2.288,-1,10,7.712,58,0,0,0,0
1/4/2015,1,1,5,2.53,-3,10,7.47,58,0,0,0,0
1/4/2015,1,1,2,2.576,-2,17,14.424,58,0,0,0,0
1/4/2015,1,1,0,3,-1,17,14,58,0,0,0,0
1/4/2015,1,1,10,3.182,-1,15,11.818,58,0,0,0,0
1/4/2015,1,1,1,3.561,-2,17,13.439,58,0,0,0,0
1/5/2015,1,2,13,-5.5,1,15,20.5,63,0,1,1,10
1/5/2015,1,2,15,-5.242,-3,15,20.242,63,0,0,1,0
1/5/2015,1,2,11,-4.955,0,16,20.955,63,0,0,1,0
1/5/2015,1,2,14,-4.591,4,15,19.591,63,0,1,1,3
1/5/2015,1,2,10,-4.53,10,16,20.53,63,0,0,1,0
1/5/2015,1,2,9,-3.667,1,12,15.667,63,0,1,1,1
1/5/2015,1,2,12,-3.424,-4,15,18.424,63,0,1,1,5
1/5/2015,1,2,18,-1.939,-2,15,16.939,63,0,0,1,0
1/5/2015,1,2,17,-1.712,3,16,17.712,63,0,0,1,0
1/5/2015,1,2,19,-1.258,1,14,15.258,63,0,0,1,0
1/5/2015,1,2,16,-0.712,-3,18,18.712,63,0,0,1,0
1/5/2015,1,2,7,-0.424,1,7,7.424,63,0,1,1,1
1/5/2015,1,2,8,1.212,1,12,10.788,63,0,1,1,3
1/5/2015,1,2,3,1.833,1,10,8.167,63,0,0,0,0
1/5/2015,1,2,4,2.03,0,8,5.97,63,0,0,0,0
1/5/2015,1,2,0,2.273,0,13,10.727,63,0,0,0,0
1/5/2015,1,2,21,2.788,0,17,14.212,63,0,0,0,0
1/5/2015,1,2,5,3.03,0,9,5.97,63,0,1,0,1
1/5/2015,1,2,6,3.318,0,10,6.682,63,0,1,0,2
1/5/2015,1,2,2,3.591,1,13,9.409,63,0,0,0,0
1/5/2015,1,2,22,3.985,2,17,13.015,63,0,1,0,1
1/5/2015,1,2,23,4.515,0,15,10.485,63,0,1,0,1
1/5/2015,1,2,1,4.576,-3,13,8.424,63,0,0,0,0
1/5/2015,1,2,20,4.712,-2,20,15.288,63,0,0,0,0
1/6/2015,1,3,15,-5.5,0,13,18.5,65,0,0,1,0
1/6/2015,1,3,9,-2.591,3,12,14.591,65,0,0,1,0
1/6/2015,1,3,14,-2.545,-2,15,17.545,65,0,0,1,0
1/6/2015,1,3,16,-2.333,11,16,18.333,65,0,0,1,0
1/6/2015,1,3,12,-1.561,0,17,18.561,65,0,1,1,2
1/6/2015,1,3,13,-1.47,-1,16,17.47,65,0,0,1,0
1/6/2015,1,3,11,-1.242,5,18,19.242,65,0,0,1,0
1/6/2015,1,3,7,-0.864,2,7,7.864,65,0,0,1,0
1/6/2015,1,3,17,-0.455,4,16,16.455,65,0,0,1,0
1/6/2015,1,3,8,0.076,2,12,11.924,65,0,1,1,2
1/6/2015,1,3,19,0.667,2,17,16.333,65,0,1,1,1
1/6/2015,1,3,18,0.909,-2,17,16.091,65,0,0,0,0
1/6/2015,1,3,4,1.111,-5,8,6.889,65,0,0,0,0
1/6/2015,1,3,10,2.076,0,18,15.924,65,0,0,0,0
1/6/2015,1,3,5,2.292,4,8,5.708,65,0,0,0,0
1/6/2015,1,3,3,2.458,-2,9,6.542,65,0,0,0,0
1/6/2015,1,3,21,3.455,0,16,12.545,65,0,0,0,0
1/6/2015,1,3,6,3.557,-2,10,6.443,65,0,1,0,1
1/6/2015,1,3,22,3.803,-2,16,12.197,65,0,0,0,0
1/6/2015,1,3,0,4.515,-2,14,9.485,65,0,0,0,0
1/6/2015,1,3,2,4.712,3,13,8.288,65,0,0,0,0
1/6/2015,1,3,23,4.773,0,15,10.227,65,0,0,0,0
1/6/2015,1,3,1,5.47,0,14,8.53,65,0,0,0,0
1/6/2015,1,3,20,6.591,-2,21,14.409,65,0,0,0,0
1/7/2015,1,4,13,-2.803,-8,17,19.803,67,0,0,1,0
1/7/2015,1,4,15,-2.106,4,15,17.106,67,0,0,1,0
1/7/2015,1,4,12,-1.288,-1,19,20.288,67,0,0,1,0
1/7/2015,1,4,14,-1.152,2,16,17.152,67,0,0,1,0
1/7/2015,1,4,11,0.015,11,19,18.985,67,0,0,0,0
1/7/2015,1,4,9,0.121,2,13,12.879,67,0,0,0,0
1/7/2015,1,4,18,1,2,18,17,67,0,0,0,0
1/7/2015,1,4,17,1.167,0,19,17.833,67,0,0,0,0
1/7/2015,1,4,4,1.303,0,7,5.697,67,0,0,0,0
1/7/2015,1,4,3,1.636,-1,9,7.364,67,0,1,1,1
1/7/2015,1,4,7,1.667,1,9,7.333,67,0,0,0,0
1/7/2015,1,4,19,1.773,-4,18,16.227,67,0,0,0,0
1/7/2015,1,4,6,2.682,0,10,7.318,67,0,0,0,0
1/7/2015,1,4,16,2.758,6,20,17.242,67,0,1,0,5
1/7/2015,1,4,5,2.879,0,9,6.121,67,0,0,0,0
1/7/2015,1,4,8,2.924,5,13,10.076,67,0,0,0,0
1/7/2015,1,4,23,3.333,0,18,14.667,67,0,0,0,0
1/7/2015,1,4,10,3.97,-4,19,15.03,67,0,0,0,0
1/7/2015,1,4,1,4.288,1,14,9.712,67,0,0,0,0
1/7/2015,1,4,2,4.485,-1,13,8.515,67,0,0,0,0
1/7/2015,1,4,0,4.636,3,15,10.364,67,0,0,0,0
1/7/2015,1,4,22,6.621,-6,20,13.379,67,0,0,0,0
1/7/2015,1,4,21,7.455,-7,21,13.545,67,0,0,0,0
1/7/2015,1,4,20,8.879,6,24,15.121,67,0,0,0,0
1/8/2015,1,5,9,-2.591,10,12,14.591,67,0,1,1,2
1/8/2015,1,5,3,-2.379,0,9,11.379,67,0,1,1,1
1/8/2015,1,5,14,-2.273,-1,17,19.273,67,0,1,1,1
1/8/2015,1,5,12,-2.197,5,17,19.197,67,0,1,1,2
1/8/2015,1,5,15,-2.136,-1,17,19.136,67,0,0,1,0
1/8/2015,1,5,13,-1.364,2,17,18.364,67,0,1,1,5
1/8/2015,1,5,4,-1.318,-3,8,9.318,67,0,1,1,1
1/8/2015,1,5,11,-0.258,-2,17,17.258,67,0,0,1,0
1/8/2015,1,5,17,-0.242,0,17,17.242,67,0,0,1,0
1/8/2015,1,5,7,-0.03,-2,8,8.03,67,0,0,1,0
1/8/2015,1,5,8,0.212,0,12,11.788,67,0,0,0,0
1/8/2015,1,5,5,0.515,1,9,8.485,67,0,0,0,0
1/8/2015,1,5,10,1.455,1,17,15.545,67,0,0,0,0
1/8/2015,1,5,18,1.758,-2,18,16.242,67,0,0,0,0
1/8/2015,1,5,6,1.833,4,9,7.167,67,0,1,1,1
1/8/2015,1,5,2,1.955,1,15,13.045,67,0,0,0,0
1/8/2015,1,5,21,1.985,-1,16,14.015,67,0,0,0,0
1/8/2015,1,5,19,2.197,6,18,15.803,67,0,0,0,0
1/8/2015,1,5,22,2.591,-3,16,13.409,67,0,0,0,0
1/8/2015,1,5,16,2.955,-3,20,17.045,67,0,0,0,0
1/8/2015,1,5,1,3.455,2,16,12.545,67,0,0,0,0
1/8/2015,1,5,0,3.5,0,17,13.5,67,0,0,0,0
1/8/2015,1,5,23,4.379,2,16,11.621,67,0,0,0,0
1/8/2015,1,5,20,6.848,-1,21,14.152,67,0,0,0,0
1/9/2015,1,6,15,-6.273,0,15,21.273,66,0,1,1,1
1/9/2015,1,6,12,-5.833,-3,15,20.833,66,0,0,1,0
1/9/2015,1,6,13,-4.561,2,15,19.561,66,0,1,1,4
1/9/2015,1,6,14,-4,16,15,19,66,0,1,1,5
1/9/2015,1,6,10,-1.742,11,15,16.742,66,0,0,1,0
1/9/2015,1,6,11,-1.409,0,15,16.409,66,0,0,1,0
1/9/2015,1,6,9,-1.091,14,12,13.091,66,0,1,1,4
1/9/2015,1,6,16,-0.833,-4,18,18.833,66,0,0,1,0
1/9/2015,1,6,7,-0.5,0,7,7.5,66,0,1,1,2
1/9/2015,1,6,8,-0.015,0,11,11.015,66,0,0,1,0
1/9/2015,1,6,17,0.152,-1,19,18.848,66,0,0,0,0
1/9/2015,1,6,6,1.045,1,9,7.955,66,0,0,0,0
1/9/2015,1,6,5,1.701,-1,9,7.299,66,0,0,0,0
1/9/2015,1,6,18,1.773,0,19,17.227,66,0,0,0,0
1/9/2015,1,6,1,2.955,5,16,13.045,66,0,0,0,0
1/9/2015,1,6,19,3.015,1,18,14.985,66,0,0,0,0
1/9/2015,1,6,4,3.939,1,10,6.061,66,0,0,0,0
1/9/2015,1,6,3,4.242,-4,11,6.758,66,0,0,0,0
1/9/2015,1,6,23,4.273,1,19,14.727,66,0,0,0,0
1/9/2015,1,6,21,4.591,-1,19,14.409,66,0,0,0,0
1/9/2015,1,6,0,4.667,-3,16,11.333,66,0,0,0,0
1/9/2015,1,6,22,4.939,-1,19,14.061,66,0,0,0,0
1/9/2015,1,6,2,6.909,-1,16,9.091,66,0,0,0,0
1/9/2015,1,6,20,8.273,-4,23,14.727,66,0,0,0,0
1/10/2015,1,7,15,-3.182,-1,15,18.182,62,0,1,1,4
