SCHD_DATE,MONTH,DAY_OF_WEEK,HOUR,STAFFED_UNITS,PRIVATE_UNITS,TOTAL_UNITS,PROJECTED_MAX_CALLS,UNITS_ON_CALLS,EVENT,RAIN,MIN_TEMPERATURE,MAX_TEMPERATURE,XXM_DISPATCHES,XXM_STATE,EVENT_STATE
1/1/15,1,5,0.5,19,7,26,15,27,Y,0,40,59,0,0,1
1/1/15,1,5,1,19,6,25,13,31,Y,0,40,59,3,1,1
1/1/15,1,5,1.5,19,6,25,12.9,33,Y,0,40,59,1,1,1
1/1/15,1,5,2,19,6,25,13.9,35,Y,0,40,59,3,1,1
1/1/15,1,5,2.5,19,6,25,13,33,Y,0,40,59,3,1,1
1/1/15,1,5,3,19,6,25,12,37,Y,0,40,59,2,1,1
1/1/15,1,5,3.5,18,6,24,9,31,Y,0,40,59,0,0,1
1/1/15,1,5,4,16,6,22,9.9,23,Y,0,40,59,0,0,1
1/1/15,1,5,4.5,16,6,22,10,18,Y,0,40,59,0,0,1
1/1/15,1,5,5,11,6,17,11.9,13,Y,0,40,59,0,0,1
1/1/15,1,5,5.5,13,7,20,10,18,Y,0,40,59,0,0,1
1/1/15,1,5,6,11,8,19,8,13,Y,0,40,59,1,1,1
1/1/15,1,5,6.5,13,7,20,8,10,Y,0,40,59,1,1,1
1/1/15,1,5,7,9,8,17,11.9,10,Y,0,40,59,0,0,1
1/1/15,1,5,7.5,12,8,20,13,12,Y,0,40,59,3,1,1
1/1/15,1,5,8,12,8,20,16,14,Y,0,40,59,4,1,1
1/1/15,1,5,8.5,12,8,20,19,15,Y,0,40,59,1,1,1
1/1/15,1,5,9,12,10,22,21,17,Y,0,40,59,0,0,1
1/1/15,1,5,9.5,17,10,27,21,14,Y,0,40,59,0,0,1
1/1/15,1,5,10,17,10,27,22,12,Y,0,40,59,0,0,1
1/1/15,1,5,10.5,17,10,27,22,9,Y,0,40,59,0,0,1
1/1/15,1,5,11,17,10,27,21.9,12,Y,0,40,59,0,0,1
1/1/15,1,5,11.5,17,10,27,22.9,12,Y,0,40,59,0,0,1
1/1/15,1,5,12,17,10,27,23.9,14,Y,0,40,59,0,0,1
1/1/15,1,5,12.5,17,10,27,22,13,Y,0,40,59,0,0,1
1/1/15,1,5,13,17,10,27,21.9,16,Y,0,40,59,0,0,1
1/1/15,1,5,13.5,17,10,27,23.9,13,Y,0,40,59,0,0,1
1/1/15,1,5,14,17,10,27,24.9,20,Y,0,40,59,0,0,1
1/1/15,1,5,14.5,17,11,28,26.9,23,Y,0,40,59,0,0,1
1/1/15,1,5,15,17,11,28,28.9,21,Y,0,40,59,0,0,1
1/1/15,1,5,15.5,22,11,33,22,16,Y,0,40,59,0,0,1
1/1/15,1,5,16,19,11,30,22.9,11,Y,0,40,59,0,0,1
1/1/15,1,5,16.5,22,11,33,21.9,11,Y,0,40,59,0,0,1
1/1/15,1,5,17,19,11,30,21.9,17,Y,0,40,59,0,0,1
1/1/15,1,5,17.5,22,10,32,19.9,24,Y,0,40,59,0,0,1
1/1/15,1,5,18,19,9,28,21,23,Y,0,40,59,0,0,1
1/1/15,1,5,18.5,22,10,32,19,27,Y,0,40,59,0,0,1
1/1/15,1,5,19,19,9,28,16,20,Y,0,40,59,0,0,1
1/1/15,1,5,19.5,24,9,33,17,15,Y,0,40,59,0,0,1
1/1/15,1,5,20,24,9,33,19.9,14,Y,0,40,59,0,0,1
1/1/15,1,5,20.5,24,8,32,19,17,Y,0,40,59,0,0,1
1/1/15,1,5,21,20,7,27,18,12,Y,0,40,59,0,0,1
1/1/15,1,5,21.5,20,7,27,17.9,16,Y,0,40,59,0,0,1
1/1/15,1,5,22,20,5,25,17,15,Y,0,40,59,0,0,1
1/1/15,1,5,22.5,19,5,24,16,10,Y,0,40,59,0,0,1
1/1/15,1,5,23,19,5,24,16.9,8,Y,0,40,59,0,0,1
1/1/15,1,5,23.5,19,5,24,15,10,Y,0,40,59,0,0,1
1/2/15,1,6,0,19,10,29,16.9,16,,0,38,55,0,0,0
1/2/15,1,6,0.5,19,10,29,16,16,,0,38,55,0,0,0
1/2/15,1,6,1,19,10,29,17,17,,0,38,55,0,0,0
1/2/15,1,6,1.5,19,10,29,15,9,,0,38,55,0,0,0
1/2/15,1,6,2,19,10,29,12,9,,0,38,55,0,0,0
1/2/15,1,6,2.5,19,10,29,12,8,,0,38,55,0,0,0
1/2/15,1,6,3,15,10,25,11,11,,0,38,55,0,0,0
1/2/15,1,6,3.5,15,7,22,9,10,,0,38,55,0,0,0
1/2/15,1,6,4,12,6,18,9,4,,0,38,55,0,0,0
1/2/15,1,6,4.5,14,6,20,9.9,5,,0,38,55,0,0,0
1/2/15,1,6,5,11,6,17,12,5,,0,38,55,0,0,0
1/2/15,1,6,5.5,14,7,21,11.8,7,,0,38,55,0,0,0
1/2/15,1,6,6,12,7,19,12,9,,0,38,55,0,0,0
1/2/15,1,6,6.5,14,6,20,9,8,,0,38,55,0,0,0
1/2/15,1,6,7,10,7,17,9,8,,0,38,55,0,0,0
1/2/15,1,6,7.5,13,6,19,14.9,9,,0,38,55,0,0,0
1/2/15,1,6,8,13,6,19,13.9,14,,0,38,55,0,0,0
1/2/15,1,6,8.5,13,6,19,15.8,8,,0,38,55,0,0,0
1/2/15,1,6,9,13,7,20,17,8,,0,38,55,0,0,0
1/2/15,1,6,9.5,17,7,24,19,9,,0,38,55,0,0,0
1/2/15,1,6,10,17,8,25,22.9,17,,0,38,55,0,0,0
1/2/15,1,6,10.5,17,8,25,20.9,17,,0,38,55,0,0,0
1/2/15,1,6,11,17,8,25,19,15,,0,38,55,0,0,0
1/2/15,1,6,11.5,17,8,25,23.9,18,,0,38,55,0,0,0
1/2/15,1,6,12,17,8,25,26,19,,0,38,55,0,0,0
1/2/15,1,6,12.5,17,10,27,26,16,,0,38,55,0,0,0
1/2/15,1,6,13,17,11,28,24.9,17,,0,38,55,0,0,0
1/2/15,1,6,13.5,17,11,28,22.9,18,,0,38,55,0,0,0
1/2/15,1,6,14,17,11,28,25,20,,0,38,55,0,0,0
